sampling,fs,classifier,data,cv f1,train f1,test f1,test auc,test precision,test recall,test accuracy,test precision (1),test recall (1),test f1 (1),test precision (0),test recall (0),test f1 (0)
up_sample,embedded: rlr_l1,linear_svm,genomic,0.6781,1,0.6523,0.4063,0.5948,0.7222,0.7222,0,0,0,0.7647,0.9286,0.8387
smote_sample,wrapper: rfe_lr,linear_svm,genomic,0.6778,1,0.6667,0.3705,0.6,0.75,0.75,0,0,0,0.7714,0.9643,0.8571
up_sample,filter: anova,knn,genomic,0.674,0.8933,0.5092,0.2768,0.5582,0.4722,0.4722,0.0769,0.125,0.0952,0.6957,0.5714,0.6275
raw,embedded: rlr_l1,rf,genomic,0.6671,1,0.6806,0.6853,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
raw,filter: anova,rf,genomic,0.6671,1,0.6806,0.6585,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
up_sample,filter: anova,rf,genomic,0.6671,1,0.6667,0.4598,0.6,0.75,0.75,0,0,0,0.7714,0.9643,0.8571
raw,filter: anova,linear_svm,genomic,0.6671,1,0.6667,0.4375,0.6,0.75,0.75,0,0,0,0.7714,0.9643,0.8571
raw,filter: anova,knn,genomic,0.6671,0.9562,0.6806,0.4107,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
raw,wrapper: rfe_lr,knn,genomic,0.6671,0.683,0.6806,0.3594,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
raw,wrapper: rfe_lr,rf,genomic,0.6671,1,0.6806,0.3103,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
up_sample,wrapper: rfe_lr,knn,genomic,0.6186,0.7825,0.4907,0.3884,0.5722,0.4444,0.4444,0.125,0.25,0.1667,0.7,0.5,0.5833
down_sample,filter: anova,knn,genomic,0.6086,0.7856,0.5148,0.3996,0.5852,0.4722,0.4722,0.1333,0.25,0.1739,0.7143,0.5357,0.6122
down_sample,embedded: rlr_l1,knn,genomic,0.5963,0.7856,0.4642,0.346,0.5841,0.4167,0.4167,0.1579,0.375,0.2222,0.7059,0.4286,0.5333
down_sample,wrapper: rfe_lr,knn,genomic,0.5739,0.4717,0.4296,0.4152,0.596,0.3889,0.3889,0.1818,0.5,0.2667,0.7143,0.3571,0.4762
down_sample,embedded: rlr_l1,rf,genomic,0.5532,0.7596,0.4365,0.279,0.5681,0.3889,0.3889,0.15,0.375,0.2143,0.6875,0.3929,0.5
down_sample,filter: anova,linear_svm,genomic,0.514,0.6854,0.4296,0.3482,0.596,0.3889,0.3889,0.1818,0.5,0.2667,0.7143,0.3571,0.4762
down_sample,embedded: rlr_l1,linear_svm,genomic,0.4955,0.7661,0.2943,0.2813,0.4381,0.25,0.25,0.087,0.25,0.129,0.5385,0.25,0.3415
down_sample,filter: anova,rf,genomic,0.4847,0.7061,0.4194,0.5045,0.6296,0.3889,0.3889,0.2083,0.625,0.3125,0.75,0.3214,0.45
down_sample,wrapper: rfe_lr,linear_svm,genomic,0.4837,0.6643,0.4511,0.4554,0.6466,0.4167,0.4167,0.2174,0.625,0.3226,0.7692,0.3571,0.4878
smote_sample,wrapper: rfe_lr,knn,genomic,0.4825,0.753,0.539,0.4911,0.6875,0.5,0.5,0.25,0.625,0.3571,0.8125,0.4643,0.5909
down_sample,wrapper: rfe_lr,rf,genomic,0.4762,0.6499,0.4194,0.375,0.6296,0.3889,0.3889,0.2083,0.625,0.3125,0.75,0.3214,0.45
smote_sample,embedded: rlr_l1,knn,genomic,0.2404,0.27,0.0808,0.5268,0.0494,0.2222,0.2222,0.2222,1,0.3636,0,0,0
smote_sample,filter: anova,knn,genomic,0.0876,0.0876,0.0808,0.5,0.0494,0.2222,0.2222,0.2222,1,0.3636,0,0,0
